# Numbers extracted using tools/atomic_weights.ipynb from https://www.ciaaw.org/atomic-masses.htm
Isotope,Atomic Mass [Da],Uncertainty [Da]
146Xe,145.948518245,0.000026000
147Ba,146.9353039,0.000021200
147Ce,146.9226899,0.000009211
147Cs,146.944261512,0.000009000
147Dy,146.931082712,0.000009500
147Er,146.949964456,0.000041000
147Eu,146.91675244,0.000002758
147Gd,146.919101014,0.000002025
147Ho,146.940142293,0.000005368
147I,146.966505,0.000322
147La,146.9284178,0.000011500
147Nd,146.916105969,0.000001368
147Pm,146.915144944,0.000001382
147Pr,146.919007438,0.000017020
147Sm,146.914904401,0.000001354
147Tb,146.92405462,0.000008691
147Tm,146.961379887,0.000007341
147Xe,146.954482,0.000215
148Ba,147.938223,0.000001600
148Ce,147.924424186,0.000012017
148Cs,147.949639026,0.000014000
148Dy,147.927149944,0.000009365
148Er,147.944735026,0.000011000
148Eu,147.918091288,0.000010693
148Gd,147.918121414,0.000001566
148Ho,147.937743925,0.000090000
148La,147.9326794,0.000020900
148Nd,147.916899027,0.000002203
148Pm,147.917481091,0.000006108
148Pr,147.922129992,0.000016147
148Sm,147.914829233,0.000001337
148Tb,147.924275476,0.000013379
148Tm,147.958384026,0.000011000
148Xe,147.958508,0.000322
148Yb,147.967547,0.000429
149Ba,148.943284,0.000002700
149Ce,148.9284269,0.000011000
149Cs,148.953516,0.000429
149Dy,148.927327516,0.000009858
149Er,148.942306,0.000030000
